,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle2_run19,279924,279714,279918,279930,279912,279498,271074,271290,271716,271506,271500,271932,271722,263298,271710,263514,263724,271938,279282,271926
grid0_cycle3_run19,271506,271290,271722,271074,279714,271938,279498,279282,279066,279930,271068,278850,271284,271500,271716,271062,271278,272154,271932,271494
grid0_cycle4_run19,270858,271938,271722,279930,271932,272154,279714,279498,271716,279282,271506,279066,278850,278634,270642,278418,278202,277986,271500,277770
grid0_cycle5_run19,279930,279714,279498,272154,279282,279924,271938,271722,279066,271506,278850,271290,271074,279708,271068,279492,271284,264378,279276,271500
grid0_cycle1_run20,279918,269772,270852,279696,279702,279480,261996,278838,279486,270858,279264,279270,278832,279054,279048,278844,270636,279912,269988,262212
grid0_cycle2_run20,279924,279918,271938,263946,271722,263730,264162,263514,279912,271506,263298,255738,255522,271290,255954,279925,271074,279930,256170,279919
grid0_cycle3_run20,278850,278844,279066,277518,278814,279060,277482,279030,277734,271500,271710,279282,279462,277698,279678,279642,278838,279498,271494,279276
grid0_cycle4_run20,279498,279714,279282,279066,278850,279930,271500,271284,271068,279708,271716,279492,279276,271932,279924,270636,271278,279060,271494,271062
grid0_cycle5_run20,279498,279282,279066,278850,279714,272148,272154,264372,279930,271932,279708,279492,271716,279276,279060,269778,278844,264366,271500,269994
grid0_cycle1_run21,279210,279246,279462,278994,278958,279174,279030,278778,279714,278742,279426,278382,278814,279498,278346,277296,278592,276000,278094,275964
grid0_cycle2_run21,279708,271938,279714,279492,271932,272154,279702,279486,279930,279498,264162,271722,271470,271926,264378,271686,264156,271716,279276,279246
grid0_cycle3_run21,279930,279714,278634,279498,279282,278418,279924,278202,277986,279066,277770,278850,277554,279708,279492,279276,279060,270858,278844,279918
grid0_cycle4_run21,279714,279498,279282,279930,279066,278850,272154,270858,278418,278814,278202,278634,279030,277986,271938,277770,277554,264378,279246,263082
grid0_cycle5_run21,278850,279066,279282,279498,279714,279930,278814,279030,271074,271290,271506,279246,277986,278202,277770,278418,277554,271722,279462,271938
grid0_cycle1_run22,279066,279282,278850,271938,279498,278844,271722,279060,278838,271506,277554,279054,277770,271716,271500,279276,271290,279714,271932,278832
grid0_cycle2_run22,271938,271932,271722,271716,279282,279498,271500,271506,279066,279714,278850,264156,264162,279276,271926,279492,272154,279060,271710,271284
grid0_cycle3_run22,272154,271938,271722,271932,264378,271506,271716,279714,279498,279282,279930,279066,272148,271500,278850,271290,264162,271074,279492,256602
grid0_cycle4_run22,272154,271938,271722,271506,271290,271074,279930,264378,271932,279714,271716,271500,279498,279282,271284,264162,272148,271068,279066,278850
grid0_cycle5_run22,279930,271938,271722,272154,279708,271506,271932,279924,279492,271716,279714,271290,279276,271500,271074,279498,272148,263946,264162,263730
grid0_cycle1_run23,279498,279282,279714,279492,279066,279708,278850,279276,279060,278844,279499,279486,279715,279283,279270,279702,279067,278851,279054,271938
grid0_cycle2_run23,271938,272154,271722,271932,279930,271716,271506,271500,271926,270420,270204,264378,271710,279714,270642,270426,270636,264156,272118,269988
grid0_cycle3_run23,272154,271938,271932,271722,264378,271716,278850,279066,271500,271926,271710,271506,272118,279282,264162,271284,264156,271290,264150,272082
grid0_cycle4_run23,279930,279714,279498,271932,271938,271716,271722,279282,279708,272154,271500,271506,279492,279066,272148,278850,271926,279276,271284,271710
grid0_cycle5_run23,272154,271932,271716,279930,271938,271500,264378,278850,279066,279282,271722,279714,279498,271284,271506,271068,271290,271074,272148,264156
grid0_cycle1_run24,271938,279282,271722,279066,264162,279498,278850,263946,271506,256386,271939,271932,270426,271723,270642,279714,277770,264163,279283,277986
grid0_cycle2_run24,279714,279498,279708,279930,279924,279702,279282,279492,279696,279486,279918,279690,279480,271938,279684,271722,279474,271506,279715,279468
grid0_cycle3_run24,271290,271506,271074,271722,271938,279066,279282,278850,279498,279714,271500,271284,270642,263730,263946,271068,270426,271716,264162,271932
grid0_cycle4_run24,278850,279066,279282,279498,271290,279714,271506,271074,271722,271938,278844,264162,279060,279930,263946,279276,278838,279054,272154,279492
grid0_cycle5_run24,271074,271290,271506,271284,271068,271500,278850,279066,271722,271716,279282,279276,279492,271938,279060,271932,279708,278844,279498,279702
grid0_cycle1_run25,279918,279924,279912,279714,279708,279498,279282,279492,279702,279066,279276,279906,271716,278850,271932,279919,279486,279499,279715,279930
grid0_cycle2_run25,279930,279714,279498,279282,279066,278850,279894,279924,279678,278412,279462,278406,278196,279246,278400,278190,279030,278814,279708,277980
grid0_cycle3_run25,278634,270858,279930,263082,279714,255306,279498,278418,270642,279282,262866,270852,279066,279708,278850,255090,272154,263076,262860,279492
grid0_cycle4_run25,279930,270426,270642,279714,270210,279498,262650,262866,269994,279282,262434,279066,269778,271938,271722,272154,270636,278850,271506,262218
grid0_cycle5_run25,279930,272154,279714,279894,264378,279498,279924,270642,270426,279282,262866,279858,262650,279708,270210,270858,279066,278850,262434,279888
grid0_cycle1_run26,271290,271506,271074,279702,279696,254442,279708,254226,279690,263298,271500,271284,279684,263514,271722,254658,271068,271896,279486,279492
grid0_cycle2_run26,279210,279246,279462,279426,279174,278994,279030,279390,278958,278778,279678,278814,279642,278742,279138,279606,279354,278922,278706,279498
grid0_cycle3_run26,278850,279066,279282,271074,279498,271290,279714,271506,271722,277548,277764,271938,277980,279678,279894,279462,278196,279246,277974,278844
grid0_cycle4_run26,271938,271722,278850,271506,279066,272154,271290,279282,271074,279498,279714,269778,269994,270210,271932,264162,263076,271716,264378,270426
grid0_cycle5_run26,271074,271290,271506,271722,271938,272154,279930,279924,279714,271716,271932,271500,272148,279498,271284,279282,271068,279066,279708,272142
grid0_cycle1_run27,279924,248610,240834,256602,256386,264378,271932,248826,240618,264162,271716,248394,279925,272154,263940,241050,271500,279708,256170,263724
grid0_cycle2_run27,272154,271938,271722,271506,271290,271074,279894,264162,271932,271716,263946,271500,263730,264378,271284,279858,263514,271068,263298,279678
grid0_cycle3_run27,279282,279066,278850,279498,279714,279060,278844,279276,279492,279930,279708,279054,278838,279270,279486,279924,279702,278851,278832,279048
grid0_cycle4_run27,279930,279714,279498,271074,271290,271506,271722,271284,271500,271068,271938,263298,271716,263514,279282,263730,271932,271278,271494,271062
grid0_cycle5_run27,279930,279714,279498,279894,279282,279924,279066,279858,271938,271722,272154,271506,279708,271290,271074,279678,278850,279918,279492,279462
grid0_cycle1_run28,278850,279066,279282,279498,278851,279067,279283,279714,270426,270642,270210,279499,271932,270636,270420,271938,262866,262860,271926,271716
grid0_cycle2_run28,272154,279498,279282,272148,279714,279066,278850,272142,271938,271722,271506,272136,264378,279930,272155,271290,271074,264372,269742,269958
grid0_cycle3_run28,278850,279066,272148,279282,271932,271074,271290,271716,271506,279498,272142,271722,270636,264372,271500,270420,271938,270204,279708,279492
grid0_cycle4_run28,278850,279066,279282,279498,279714,278844,279060,278851,279276,278838,279067,279054,279930,279492,271722,271506,271290,271074,279283,271938
grid0_cycle5_run28,279282,279066,278850,279498,279714,279930,278844,279060,279276,279492,279708,271506,271290,271074,279054,278838,279270,271722,271938,279486
grid0_cycle1_run29,279714,279276,271068,279498,271284,279060,279492,278844,279282,271500,279708,271062,279066,271278,270636,262860,271716,279930,279270,278850
grid0_cycle2_run29,272154,279276,271932,279060,264378,278844,279492,271716,264372,279714,272148,279498,279930,264156,279708,271500,256596,279282,256602,263940
grid0_cycle3_run29,278634,279930,270858,263082,272154,255306,264378,271068,271284,279714,278418,278844,271500,279060,263940,271716,279276,263724,264156,279498
grid0_cycle4_run29,272154,264378,279930,279714,264342,271938,264162,272118,263082,279498,270858,256602,271722,263946,255306,279282,271506,279924,263730,264126
grid0_cycle5_run29,271938,271722,272154,271506,264378,264162,271290,279930,263946,271074,271932,279714,263730,279498,272148,271716,279282,264372,278628,279066
grid1_cycle1_run0,279930,272148,272154,272142,271932,271926,271710,271920,271716,279714,272136,271704,271494,271488,271500,279924,279498,271278,271914,271272
grid1_cycle2_run0,271716,271932,271500,271284,271068,271722,271506,271938,271290,271074,263940,264156,263724,272148,272154,263508,263292,278850,279066,279282
grid1_cycle3_run0,278850,279066,279282,279498,279714,278844,279060,279276,279930,278418,279492,278634,278202,279708,277986,278838,279054,277770,279270,277554
grid1_cycle4_run0,279924,279930,279708,279492,279276,272148,279060,279714,278844,279498,264372,272154,279282,278634,279066,279918,264378,278850,278418,271932
grid1_cycle5_run0,271932,272148,271716,279924,271500,271284,271068,270426,270642,278628,270210,264156,263940,269994,279708,263724,271926,269778,271710,263508
grid1_cycle1_run1,279714,279498,279282,279930,279066,278850,271938,272154,271722,271506,271290,271074,279276,279060,279492,279708,278844,264378,264162,263946
grid1_cycle2_run1,279930,279714,271938,271722,279498,271506,272154,271290,271074,279282,279066,278850,279708,279492,279894,279276,263946,264162,263730,279060
grid1_cycle3_run1,279930,279714,279498,279282,279066,278850,272154,271938,264378,271722,279924,271506,279708,264162,256602,279931,279492,279918,279276,271290
grid1_cycle4_run1,263298,263514,263730,271074,271290,263946,271506,264162,279930,271722,271938,279714,272154,279498,279282,264378,279066,278850,278634,263292
grid1_cycle5_run1,271074,271290,271506,279924,279930,271722,279708,279714,278850,279498,279066,271938,263298,263514,279282,263730,279492,263946,279276,279060
grid1_cycle1_run2,271938,279714,271722,264162,272154,279498,263946,271506,279282,264378,263730,279930,271290,279066,256386,271074,278850,271932,271716,263514
grid1_cycle2_run2,279714,279930,279498,279282,271938,271932,271716,271722,272154,271500,279066,271506,271926,264162,279924,263940,264156,278850,279708,271290
grid1_cycle3_run2,279930,279714,279498,279282,279066,278850,271506,271290,271722,271074,279924,271938,279708,279492,272154,263946,263730,279276,263514,263298
grid1_cycle4_run2,272154,279930,271938,272148,271722,279924,271506,271290,279714,271074,279498,271932,271716,279282,271500,279708,279066,271284,278850,271068
grid1_cycle5_run2,272148,272154,271932,271938,279924,271722,271716,279918,264162,264156,264378,272142,279708,271506,263940,263946,272118,271500,278850,263724
